ID1,ID2,EdgeType,Score,Annotation
230,249,MS1 annotation,11,[M+2H]2+ [M+2H]2+ dm/z=6.023570207611954
230,501,MS1 annotation,12,[M+2H]2+ [M+2H]2+ dm/z=6.009827411554909
230,513,MS1 annotation,12,[M+2H]2+ [M+2H]2+ dm/z=17.041977219926423
230,688,MS1 annotation,12,[M+2H]2+ [M+2H]2+ dm/z=17.046934253247571
232,276,MS1 annotation,6,[M+2H]2+ [M+2Na]2+ dm/z=22.002178498250942
232,316,MS1 annotation,5,[M+2H]2+ [M+2H]2+ dm/z=22.015744608464274
234,519,MS1 annotation,11,[M+H+Na]2+ [M+2H]2+ dm/z=21.999754186881091
235,401,MS1 annotation,1,[M+H]+ [M+H]+ dm/z=18.001975865252916
238,623,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=17.970717509123574
240,310,MS1 annotation,1,[M+2H]2+ [M+2H]2+ dm/z=22.006442289131087
244,323,MS1 annotation,3,[M+2H]2+ [M+2H]2+ dm/z=21.987247693385541
244,681,MS1 annotation,2,[M+2H]2+ [M+H]+ dm/z=467.209161901156392
245,544,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=22.016318407566132
249,513,MS1 annotation,9,[M+2H]2+ [M+2H]2+ dm/z=11.018407012314469
251,609,MS1 annotation,2,[M-3H-2O]+ [M+H]+ dm/z=21.98938637398436
255,505,MS1 annotation,0,[M+2H]2+ [M+2Na]2+ dm/z=21.975689950708102
259,575,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.982151745158546
261,274,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.981222285073045
262,494,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=21.980690867166572
263,264,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.981728685670078
265,269,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.9807864346879
266,659,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.983002747137846
268,302,MS1 annotation,5,[M+H]+ [M-H-O]+ dm/z=18.010115281758942
268,506,MS1 annotation,5,[M+H]+ [M+H]+ dm/z=18.013782306002099
